DOY,StationCode,mean_tec
210.0,TRIV,77.66465701076818
211.0,BOMB,52.29579905648176
211.0,IITK,34.881914102273356
211.0,MANI,35.124932171129245
211.0,ROPA,25.250598367928514
211.0,TRIV,57.46100568673392
212.0,BOMB,56.62167834281795
212.0,IITK,49.232971399766676
212.0,MANI,42.349889193105156
212.0,ROPA,35.6688394320071
212.0,TRIV,64.92347651826545
213.0,BOMB,59.95767978148364
213.0,IITK,44.679096905436616
213.0,MANI,43.510923966484086
213.0,ROPA,33.02252854315147
213.0,TRIV,68.54796172219105
214.0,BOMB,59.91924981794954
214.0,IITK,43.90065851392195
214.0,MANI,42.72408065936759
214.0,ROPA,34.11213687801887
214.0,TRIV,68.16329181513375
215.0,BOMB,56.64466234620857
215.0,IITK,47.540918229521495
215.0,MANI,41.40904007915854
215.0,ROPA,29.383712924565046
215.0,TRIV,71.93914825165879
216.0,BOMB,60.13374489524289
216.0,IITK,53.31868692287774
216.0,MANI,47.84190285450088
216.0,ROPA,50.93782037406007
216.0,TRIV,55.10644039403555
217.0,BOMB,59.326420458427826
217.0,IITK,45.92270815958457
217.0,MANI,47.53367072829934
217.0,ROPA,43.58403327413454
217.0,TRIV,69.53952860979173
218.0,BOMB,59.879223494523245
218.0,IITK,44.23568549891343
218.0,MANI,44.26535103534116
218.0,ROPA,33.030589028348025
218.0,TRIV,78.184391341816
219.0,BOMB,68.98782240606148
219.0,IITK,40.28810521870304
219.0,MANI,44.41919824166905
219.0,ROPA,35.448384097177644
219.0,TRIV,75.44013029371305
220.0,BOMB,68.75195114701809
220.0,IITK,55.98447527746479
220.0,MANI,53.84151065430317
220.0,ROPA,42.85841355799058
220.0,TRIV,69.80504275801422
221.0,BOMB,68.08805707582074
221.0,IITK,41.128046077412016
221.0,MANI,46.41090845986463
221.0,ROPA,33.81880902189179
221.0,TRIV,80.62944916689034
222.0,BOMB,64.7443024841747
222.0,IITK,42.39498395892382
222.0,MANI,47.90687581346295
222.0,ROPA,40.07234248969271
222.0,TRIV,69.06706267296715
223.0,BOMB,64.8613783137435
223.0,IITK,45.87890152962991
223.0,MANI,50.809444264766675
223.0,ROPA,42.43232360911423
223.0,TRIV,72.29744074867563
224.0,BOMB,60.13245842930727
224.0,IITK,48.18505564470528
224.0,MANI,50.12861939931656
224.0,ROPA,45.52004901728513
224.0,TRIV,66.08452829403952
225.0,BOMB,57.56950884655212
225.0,IITK,39.02283590430966
225.0,MANI,45.274560997889836
225.0,ROPA,31.9305961365568
