DOY,Station,mean_dN,mean_dE,mean_dH
224,MANI,-0.0046053524,0.010960951,-0.014736098
224,ROPA,-0.0058893682,-0.027108125,0.0050727571
224,TRIV,-0.010280626,-0.026438653,-0.022198157
225,BOMB,-0.00061745703,0.0044402592,0.014806977
225,IITK,0.0,0.0,0.0
225,MANI,-0.0047202348,0.013424432,-3.6679547e-05
225,ROPA,-0.0050096279,-0.0058893515,-0.0067461543
225,TRIV,-0.015828362,-0.01584154,-0.014513527
226,BOMB,0.0054541193,0.030319542,0.020280667
226,IITK,0.0,0.0,0.0
226,MANI,-0.00086037221,0.024498835,-0.012090558
226,ROPA,0.00015342399,0.0039664092,-0.020643733
226,TRIV,-0.0041918033,-0.00010220039,-0.0268634
227,BOMB,0.016113959,0.023027094,0.02320723
227,IITK,0.0,0.0,0.0
227,MANI,0.0036610803,0.012843774,0.0032994172
227,ROPA,0.00034957012,-0.0098055564,0.0047527244
227,TRIV,-0.00036787067,-0.022791605,-0.0027467324
228,BOMB,0.0026694776,0.017433342,0.00627652
228,IITK,0.0,0.0,0.0
228,MANI,-0.004629489,0.012670093,-0.01520094
228,ROPA,0.0012811705,0.0021192632,-0.014313512
228,TRIV,-0.020321228,0.0022400988,-0.0082299933
229,BOMB,0.0086527327,0.026931878,0.024299566
229,IITK,0.0,0.0,0.0
229,MANI,-0.0058925762,0.0089805396,-0.0065211519
229,ROPA,-0.0021388675,-0.011597366,-0.0098263947
229,TRIV,-0.0062627452,-0.0017322422,-0.0011613336
230,BOMB,-0.0031226587,0.012519217,-0.026973257
230,IITK,0.0,0.0,0.0
230,MANI,-0.0025725779,0.012953435,-0.010570157
230,ROPA,-0.00086352881,-0.011547986,0.0058464259
230,TRIV,-0.0070477733,-0.019862037,0.0016873127
231,BOMB,0.0079910085,0.0098409848,0.01169316
231,IITK,0.0,0.0,0.0
231,MANI,0.00069111073,0.015118486,-0.014289203
231,ROPA,-0.00080346811,-0.0052067842,0.014593443
231,TRIV,0.0016114305,-0.026333591,-0.036821898
232,BOMB,0.0048056194,0.015664475,0.00063560635
232,IITK,0.0,0.0,0.0
232,MANI,-0.0028188229,0.0070897751,-0.011564857
232,ROPA,-0.0019255092,-8.9140944e-05,0.0057671093
232,TRIV,0.0051329434,-0.038658541,-0.016780643
233,BOMB,-0.0060880189,0.0033128837,-0.00047376502
233,IITK,0.0,0.0,0.0
233,MANI,-0.0056038494,0.0061180517,-0.0033967814
233,ROPA,-0.0017908993,-0.018323174,0.0041046538
233,TRIV,-0.04023293,-0.027386786,0.00027968752
234,BOMB,0.0020408372,0.0042380844,-0.016805261
234,IITK,0.0,0.0,0.0
234,MANI,0.004101309,0.017777331,-0.011532068
234,ROPA,0.0012425637,-0.0026363984,-0.0059498618
234,TRIV,-0.0095112035,-0.01268489,-0.0099803833
235,BOMB,0.00026412401,0.0098839486,-0.006357152
235,IITK,0.0,0.0,0.0
235,MANI,0.00010299557,0.0082752062,-0.0049303086
235,ROPA,-0.0010618545,-0.011207146,0.014097037
235,TRIV,-0.0050343233,-0.043011624,-0.018621875
236,BOMB,0.0029207026,0.001042688,0.023947386
236,IITK,0.0,0.0,0.0
236,MANI,-0.0052093854,0.014072587,0.0013306447
236,ROPA,-0.0049266042,-0.006122523,0.017152259
236,TRIV,-0.013662855,-0.031887703,-0.024122192
237,BOMB,-0.008293285,0.013262021,-0.0035829514
237,IITK,0.0,0.0,0.0
237,MANI,-0.0081414813,0.0098578809,0.0042004408
237,ROPA,-0.0099032149,-0.0091150505,-0.011318149
237,TRIV,-0.021628318,-0.016875384,-0.014520776
238,BOMB,0.0018380242,0.016329663,0.014310642
238,IITK,0.0,0.0,0.0
238,MANI,-0.0019438962,0.013330951,0.019305497
238,ROPA,-0.0059845354,-0.0093141086,0.045151304
238,TRIV,-0.0011955411,-0.031691119,0.0050552208
239,BOMB,0.0051551955,0.011314504,0.021826047
239,IITK,0.0,0.0,0.0
239,MANI,-0.0030928212,0.014356719,0.015225912
239,ROPA,-0.0022343877,-0.0039901463,0.035099324
239,TRIV,-0.0086354986,-0.024246614,-0.0030303914
240,BOMB,0.0042773653,0.032922707,-0.0051274393
240,IITK,0.0,0.0,0.0
240,MANI,-0.0016394713,0.012162428,-0.010897707
240,ROPA,0.0089764446,-0.005330659,-0.0095997956
240,TRIV,-0.017101167,-0.034959808,-0.018908802
241,BOMB,0.0010212858,0.014778588,0.015981285
241,IITK,0.0,0.0,0.0
241,MANI,0.00058522495,0.016190179,-0.015995286
241,ROPA,0.0038850205,-0.0024845409,0.0029651208
241,TRIV,-0.010806846,-0.011399724,-0.0012820531
242,BOMB,-0.0058376114,0.033296712,-0.0033957171
242,IITK,0.0,0.0,0.0
